# Cassini Titan flyby list
# Source: https://www.sciencedirect.com/science/article/pii/S037015731500441X
# Paper: The Interaction between Saturn's Moons and their Plasma Environments
#        Author: Sven Simon
#        Year: 2015
#        Journal: Physics Reports, vol 602
#-------------------------------------------------------------------------------------
Flyby	SLT(h)	EventTime(UTC)	Alt.(km)	Long.(deg)	Lat.(deg)	Vx	Vy	Vz	V(km/s)	Description
59TI(T41)	11.2	2008 FEB 22 (053), 17:32:06	999.7	152.9	-34.7	-4.0	-4.1	2.6	6.3	outb, northb, far side
62TI(T42)	11.1	2008 MAR 25 (085), 14:27:48	999.4	157.7	-27.0	-4.3	-3.5	3.1	6.3	outb, northb, far side
67TI(T43)	11.0	2008 MAY 12 (133), 10:01:58	1001.4	138.6	18.1	-4.7	-2.8	3.1	6.3	outb, northb, far side
69TI(T44)	10.9	2008 MAY 28 (149), 08:24:32	1400.0	151.6	10.5	-5.1	-2.2	2.9	6.3	outb, northb, far side
78TI(T45)	10.7	2008 JUL 31 (213), 02:13:11	1613.8	196.5	-43.4	-5.2	-1.5	3.1	6.2	outb, northb, far side
91TI(T46)	10.5	2008 NOV 03 (308), 17:35:22	1105.2	341.2	-3.5	-5.1	-1.5	3.4	6.3	outb, northb, inner fl.
93TI(T47)	10.4	2008 NOV 19 (324), 15:56:27	1023.4	178.6	-21.5	-4.9	-1.5	3.6	6.3	outb, northb, far side
95TI(T48)	10.4	2008 DEC 05 (340), 14:25:45	960.6	179.9	-10.2	-5.0	-0.7	3.8	6.3	outb, northb, far side
97TI(T49)	10.3	2008 DEC 21 (356), 12:59:52	970.6	237.8	-44.0	-4.7	-0.1	4.2	6.3	outb, northb, upstr.
102TI(T50)	10.2	2009 FEB 07 (038), 08:50:51	966.8	307.4	-33.9	-4.1	-0.2	4.7	6.3	outb, northb, upstr.
106TI(T51)	10.1	2009 MAR 27 (086), 04:43:36	962.6	235.8	-30.5	-3.5	-0.2	5.2	6.3	outb, northb, upstr.
